,0
0,0.1964082419872284
1,0.1964082419872284
2,0.19405217468738556
3,0.19173558056354523
4,0.18938297033309937
5,0.1869610846042633
6,0.1844150573015213
7,0.18168385326862335
8,0.17869198322296143
9,0.17536498606204987
10,0.1716093271970749
11,0.1672748476266861
12,0.1621864289045334
13,0.15610185265541077
14,0.14868618547916412
15,0.1394106149673462
16,0.1276639997959137
17,0.11275205761194229
18,0.0940530076622963
19,0.07164236158132553
20,0.04761108011007309
21,0.028586138039827347
22,0.031031344085931778
23,0.056269265711307526
24,0.08079031109809875
25,0.08848249167203903
26,0.07905598729848862
27,0.05982473865151405
28,0.040423646569252014
29,0.027498427778482437
30,0.02359474077820778
31,0.026492008939385414
32,0.030206533148884773
33,0.03199375793337822
34,0.03135047107934952
35,0.028826404362916946
36,0.025395408272743225
37,0.022780148312449455
38,0.022610614076256752
39,0.024713672697544098
40,0.02617187611758709
41,0.025576338171958923
42,0.023462973535060883
43,0.02166975662112236
44,0.02128913439810276
45,0.021932603791356087
46,0.02266118675470352
47,0.02275954931974411
48,0.022143911570310593
49,0.021164359524846077
50,0.020325472578406334
51,0.020033176988363266
52,0.02027735859155655
53,0.020584024488925934
54,0.020452748984098434
55,0.019867319613695145
56,0.01927008479833603
57,0.018998390063643456
58,0.01901504397392273
59,0.019096866250038147
60,0.019020820036530495
61,0.018730686977505684
62,0.01835153065621853
63,0.018028611317276955
64,0.017874788492918015
65,0.017852239310741425
66,0.01778450980782509
67,0.01759568601846695
68,0.017329363152384758
69,0.017087016254663467
70,0.016924934461712837
71,0.016836607828736305
72,0.01673572137951851
73,0.016598641872406006
74,0.01639409363269806
75,0.016187015920877457
76,0.016019243746995926
77,0.015902584418654442
78,0.015790129080414772
79,0.01564648374915123
80,0.01548269484192133
81,0.01530660130083561
82,0.015164882875978947
83,0.015045078471302986
84,0.014925208874046803
85,0.01478382758796215
86,0.014629645273089409
87,0.014480599202215672
88,0.014346412383019924
89,0.014224673621356487
90,0.014100370928645134
91,0.013962789438664913
92,0.01382082886993885
93,0.01368928886950016
94,0.013568578287959099
95,0.013440992683172226
96,0.013304636813700199
97,0.013165262527763844
98,0.013035114854574203
99,0.012918834574520588
100,0.012790234759449959
